"filename", "language", "JSON", "JavaScript", "JSON with Comments", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/.eslintrc.json", "JSON with Comments", 0, 0, 24, 0, 0, 0, 0, 1, 25
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/package-lock.json", "JSON", 27299, 0, 0, 0, 0, 0, 0, 1, 27300
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/package.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 1, 56
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/public/index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/public/manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/App.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/components/header.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/components/mainButtonsNav.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 3, 25
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/components/portfolioContainer.js", "JavaScript", 0, 127, 0, 0, 0, 0, 2, 12, 141
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/components/welcome.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 5, 45
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/context/cmiContext.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3, 6
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/context/cmiProvider.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 7, 33
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/index.css", "CSS", 0, 0, 0, 87, 0, 0, 3, 12, 102
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/pages/mainPage.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/pages/portfolio.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/styles/portfolio.module.css", "CSS", 0, 0, 0, 112, 0, 0, 0, 14, 126
"/home/igor/Documents/Trybe/Programação/Projetos pessoais/portfolio/front-end/src/styles/welcome.module.css", "CSS", 0, 0, 0, 137, 0, 0, 0, 15, 152
"Total", "-", 27379, 276, 24, 336, 38, 20, 28, 120, 28221
